symbol,entry_time,entry_price,trigger_high,drop_from_high_pct,optimal_tp_pct,max_rally_after_entry,hold_minutes_to_optimal_tp,tp_hit
SOLUSDT,2025-10-11 13:30:00+00:00,180.77,184.69,2.12,1.07,2.37,10.0,True
SOLUSDT,2025-10-11 19:00:00+00:00,181.0,185.05,2.19,0.81,8.41,705.0,True
SOLUSDT,2025-10-11 19:20:00+00:00,177.56,182.11,2.5,2.85,10.72,685.0,True
SOLUSDT,2025-10-11 20:10:00+00:00,176.26,180.02,2.09,3.71,11.57,655.0,True
SOLUSDT,2025-10-11 21:05:00+00:00,172.58,177.43,2.73,9.65,15.31,1080.0,True
SOLUSDT,2025-10-12 00:25:00+00:00,175.01,178.78,2.11,11.53,13.85,980.0,True
SOLUSDT,2025-10-12 00:55:00+00:00,173.0,176.86,2.18,13.02,15.17,970.0,True
SOLUSDT,2025-10-12 13:30:00+00:00,178.63,183.19,2.49,10.42,11.96,425.0,True
SOLUSDT,2025-10-12 15:35:00+00:00,187.84,191.72,2.02,5.01,6.47,300.0,True
SOLUSDT,2025-10-12 18:45:00+00:00,191.68,196.22,2.31,3.13,7.83,120.0,True
SOLUSDT,2025-10-12 21:25:00+00:00,194.6,199.0,2.21,2.06,7.37,170.0,True
SOLUSDT,2025-10-13 02:15:00+00:00,195.76,199.99,2.12,6.17,7.91,1040.0,True
SOLUSDT,2025-10-13 06:00:00+00:00,192.91,197.19,2.17,7.78,9.51,820.0,True
SOLUSDT,2025-10-13 10:15:00+00:00,195.22,199.5,2.15,6.5,8.21,565.0,True
SOLUSDT,2025-10-13 11:25:00+00:00,190.02,196.43,3.26,9.42,11.17,495.0,True
SOLUSDT,2025-10-13 14:20:00+00:00,192.75,196.96,2.14,7.87,9.6,320.0,True
SOLUSDT,2025-10-14 02:15:00+00:00,206.23,211.25,2.38,0.09,0.95,5.0,True
SOLUSDT,2025-10-14 04:10:00+00:00,203.9,208.19,2.06,-0.15,0.61,5.0,True
SOLUSDT,2025-10-14 05:35:00+00:00,200.47,205.14,2.28,1.23,3.0,640.0,True
SOLUSDT,2025-10-14 06:30:00+00:00,196.3,200.81,2.25,3.47,5.19,585.0,True
SOLUSDT,2025-10-14 06:45:00+00:00,192.0,197.91,2.99,5.81,7.54,570.0,True
SOLUSDT,2025-10-14 08:00:00+00:00,193.22,197.23,2.03,5.33,6.86,500.0,True
SOLUSDT,2025-10-14 10:05:00+00:00,193.39,197.58,2.12,5.52,8.03,375.0,True
SOLUSDT,2025-10-14 12:20:00+00:00,192.7,197.08,2.22,6.02,8.41,240.0,True
SOLUSDT,2025-10-14 15:10:00+00:00,194.7,198.85,2.09,4.95,7.3,70.0,True
SOLUSDT,2025-10-14 16:40:00+00:00,201.11,206.48,2.6,1.59,3.88,5.0,True
SOLUSDT,2025-10-14 17:00:00+00:00,199.28,205.07,2.82,2.49,4.83,10.0,True
SOLUSDT,2025-10-14 18:55:00+00:00,200.52,204.68,2.03,1.83,4.18,435.0,True
SOLUSDT,2025-10-14 19:35:00+00:00,198.92,203.79,2.39,2.65,5.02,395.0,True
SOLUSDT,2025-10-15 03:20:00+00:00,201.32,205.82,2.19,1.29,3.77,100.0,True
SOLUSDT,2025-10-15 10:30:00+00:00,204.66,208.91,2.03,-0.77,0.24,5.0,True
SOLUSDT,2025-10-15 13:05:00+00:00,201.03,205.16,2.01,-1.89,1.91,5.0,True
SOLUSDT,2025-10-15 13:45:00+00:00,198.04,204.32,3.07,-0.59,3.45,5.0,True
SOLUSDT,2025-10-15 14:40:00+00:00,200.0,204.87,2.38,-1.76,0.31,5.0,True
SOLUSDT,2025-10-15 15:40:00+00:00,196.52,200.62,2.04,-0.29,1.12,5.0,True
SOLUSDT,2025-10-15 19:40:00+00:00,194.73,198.73,2.01,0.36,1.89,5.0,True
SOLUSDT,2025-10-15 20:30:00+00:00,192.24,196.62,2.23,1.62,3.21,15.0,True
SOLUSDT,2025-10-16 05:00:00+00:00,192.24,196.19,2.01,1.71,3.21,110.0,True
SOLUSDT,2025-10-16 09:30:00+00:00,186.37,195.6,4.72,3.56,6.47,15.0,True
SOLUSDT,2025-10-16 14:05:00+00:00,193.82,198.42,2.32,-0.78,1.42,5.0,True
SOLUSDT,2025-10-16 15:00:00+00:00,192.56,196.57,2.04,-1.19,0.77,5.0,True
SOLUSDT,2025-10-16 15:35:00+00:00,189.75,194.04,2.21,-1.19,1.36,5.0,True
SOLUSDT,2025-10-16 15:55:00+00:00,186.56,190.48,2.06,0.44,3.09,5.0,True
SOLUSDT,2025-10-16 18:00:00+00:00,187.57,192.33,2.47,-0.25,1.2,5.0,True
SOLUSDT,2025-10-16 19:20:00+00:00,185.73,189.83,2.16,0.55,0.98,5.0,True
SOLUSDT,2025-10-16 19:35:00+00:00,183.56,187.4,2.05,1.57,2.17,15.0,True
SOLUSDT,2025-10-16 20:30:00+00:00,182.22,186.75,2.43,1.83,2.93,85.0,True
SOLUSDT,2025-10-17 06:25:00+00:00,183.75,187.55,2.03,-2.21,0.24,5.0,True
SOLUSDT,2025-10-17 06:45:00+00:00,179.89,184.19,2.33,2.52,3.42,555.0,True
SOLUSDT,2025-10-17 07:30:00+00:00,177.4,181.82,2.43,4.01,6.12,510.0,True
SOLUSDT,2025-10-17 08:15:00+00:00,175.86,179.63,2.1,4.98,7.05,465.0,True
SOLUSDT,2025-10-17 09:55:00+00:00,176.75,180.44,2.05,4.63,6.51,365.0,True
SOLUSDT,2025-10-17 10:20:00+00:00,174.06,177.94,2.18,6.29,8.16,340.0,True
SOLUSDT,2025-10-17 13:40:00+00:00,178.66,182.7,2.21,3.95,5.37,455.0,True
SOLUSDT,2025-10-17 14:30:00+00:00,176.84,181.82,2.74,5.02,6.46,405.0,True
SOLUSDT,2025-10-17 19:30:00+00:00,181.64,185.41,2.03,2.37,3.64,105.0,True
SOLUSDT,2025-10-17 23:25:00+00:00,182.12,186.04,2.11,2.35,3.37,445.0,True
SOLUSDT,2025-10-18 10:55:00+00:00,184.4,188.26,2.05,1.42,3.02,80.0,True
SOLUSDT,2025-10-18 16:30:00+00:00,183.2,187.4,2.24,2.99,4.64,1070.0,True
SOLUSDT,2025-10-19 08:25:00+00:00,183.81,187.87,2.16,4.04,5.82,350.0,True
SOLUSDT,2025-10-19 19:45:00+00:00,188.33,192.29,2.06,2.33,3.28,575.0,True
SOLUSDT,2025-10-20 00:10:00+00:00,186.32,190.16,2.02,3.43,4.39,310.0,True
SOLUSDT,2025-10-20 15:55:00+00:00,190.44,194.5,2.09,-0.54,3.52,5.0,True
SOLUSDT,2025-10-20 17:30:00+00:00,186.51,190.51,2.1,1.73,6.01,175.0,True
SOLUSDT,2025-10-21 01:00:00+00:00,187.1,191.18,2.13,2.49,5.67,835.0,True
SOLUSDT,2025-10-21 04:00:00+00:00,184.0,188.48,2.38,4.21,7.45,655.0,True
SOLUSDT,2025-10-21 13:45:00+00:00,183.94,187.76,2.03,4.25,7.49,70.0,True
SOLUSDT,2025-10-21 16:55:00+00:00,192.11,197.71,2.83,-0.38,1.74,5.0,True
SOLUSDT,2025-10-21 20:15:00+00:00,190.71,195.45,2.43,-2.23,0.78,5.0,True
SOLUSDT,2025-10-21 21:20:00+00:00,188.0,192.19,2.18,-0.98,1.86,5.0,True
SOLUSDT,2025-10-21 23:15:00+00:00,187.35,191.49,2.16,-0.76,0.57,5.0,True
SOLUSDT,2025-10-22 00:25:00+00:00,184.37,188.41,2.14,0.66,1.67,5.0,True
SOLUSDT,2025-10-22 05:25:00+00:00,183.28,187.45,2.22,0.73,1.98,20.0,True
SOLUSDT,2025-10-22 14:20:00+00:00,182.72,186.91,2.24,2.88,5.42,1030.0,True
SOLUSDT,2025-10-22 17:40:00+00:00,182.03,186.04,2.16,3.81,6.24,995.0,True
SOLUSDT,2025-10-22 19:55:00+00:00,177.07,182.65,3.06,7.3,9.25,1050.0,True
SOLUSDT,2025-10-22 21:10:00+00:00,177.04,180.78,2.07,7.59,9.27,980.0,True
