symbol,entry_time,entry_price,trigger_high,drop_from_high_pct,optimal_tp_pct,max_rally_after_entry,hold_minutes_to_optimal_tp,tp_hit
ICPUSDT,2025-11-25 10:10:00+00:00,3.994,4.082,2.16,1.1,1.35,20.0,True
STRKUSDT,2025-11-25 09:30:00+00:00,0.1324,0.1354,2.22,2.23,3.4,85.0,True
CELOUSDT,2025-11-25 09:15:00+00:00,0.165,0.1689,2.31,2.82,3.45,100.0,True
FETUSDT,2025-11-25 09:10:00+00:00,0.2738,0.2803,2.32,0.37,1.13,35.0,True
WLDUSDT,2025-11-25 08:55:00+00:00,0.621,0.635,2.2,1.61,1.77,105.0,True
IMXUSDT,2025-11-25 08:55:00+00:00,0.313,0.32,2.19,0.96,1.6,50.0,True
STRKUSDT,2025-11-25 08:50:00+00:00,0.1342,0.1379,2.68,0.8,2.01,5.0,True
JTOUSDT,2025-11-25 08:00:00+00:00,0.494,0.507,2.56,1.62,1.82,105.0,True
STRKUSDT,2025-11-25 07:45:00+00:00,0.1363,0.1413,3.54,0.84,1.17,5.0,True
OSMOUSDT,2025-11-25 07:40:00+00:00,0.0823,0.0844,2.49,1.34,1.58,5.0,True
NEARUSDT,2025-11-25 07:20:00+00:00,1.864,1.905,2.15,-0.05,0.21,5.0,True
STRKUSDT,2025-11-25 06:40:00+00:00,0.1405,0.1434,2.02,-0.04,0.57,5.0,True
FILUSDT,2025-11-25 06:25:00+00:00,1.602,1.636,2.08,0.75,1.12,45.0,True
ICPUSDT,2025-11-25 06:20:00+00:00,4.07,4.154,2.02,-0.1,0.29,5.0,True
FETUSDT,2025-11-25 06:05:00+00:00,0.2775,0.2835,2.12,0.16,1.01,5.0,True
STRKUSDT,2025-11-25 05:55:00+00:00,0.1424,0.1461,2.53,-0.74,0.7,5.0,True
JTOUSDT,2025-11-25 05:45:00+00:00,0.502,0.518,3.09,0.2,1.0,5.0,True
JTOUSDT,2025-11-25 05:05:00+00:00,0.515,0.528,2.46,-2.09,0.58,5.0,True
JTOUSDT,2025-11-25 04:45:00+00:00,0.524,0.54,2.96,-1.77,0.76,5.0,True
STRKUSDT,2025-11-25 04:20:00+00:00,0.1385,0.1454,4.75,2.18,5.49,10.0,True
CELOUSDT,2025-11-25 04:20:00+00:00,0.1639,0.1684,2.67,2.62,4.15,170.0,True
IMXUSDT,2025-11-25 04:20:00+00:00,0.315,0.323,2.48,0.95,1.59,5.0,True
NEARUSDT,2025-11-25 04:20:00+00:00,1.885,1.926,2.13,0.32,1.06,5.0,True
WLDUSDT,2025-11-25 04:20:00+00:00,0.624,0.639,2.35,1.12,1.76,10.0,True
JTOUSDT,2025-11-25 04:20:00+00:00,0.522,0.544,4.04,-1.1,3.45,5.0,True
IMXUSDT,2025-11-25 02:25:00+00:00,0.318,0.326,2.45,0.31,1.57,5.0,True
NEARUSDT,2025-11-25 02:20:00+00:00,1.907,1.949,2.15,-0.16,1.0,5.0,True
FETUSDT,2025-11-25 02:05:00+00:00,0.2741,0.2801,2.14,1.53,3.43,155.0,True
STRKUSDT,2025-11-25 02:00:00+00:00,0.1424,0.1455,2.13,1.18,2.6,45.0,True
FILUSDT,2025-11-25 02:00:00+00:00,1.627,1.663,2.16,-0.25,0.55,5.0,True
STRKUSDT,2025-11-25 01:45:00+00:00,0.1446,0.1479,2.23,-0.21,1.04,5.0,True
ICPUSDT,2025-11-25 01:40:00+00:00,4.128,4.215,2.06,-0.17,0.63,5.0,True
STRKUSDT,2025-11-25 00:35:00+00:00,0.1434,0.1465,2.12,0.84,3.14,5.0,True
WLDUSDT,2025-11-25 00:30:00+00:00,0.631,0.645,2.17,0.48,1.27,5.0,True
